Table,Field,Issue Code,Prevalence,Rank,,
"(in person, death, observation_period)",is primary key,G4-001,high,High,,is primary key (pattern: <table_name>_id)
"(in person, death, observation_period)",is primary key,G1-003,low,Medium,,is source value (pattern: *_source_value)
"(in person, death, observation_period)",is primary key,G2-013,medium,High,,is concept id (pattern:*_concept_id)
"(in person, death, observation_period)",is source value,G4-002,"in (full, high)",Medium,,is foreign key (pattern: *_id but not *_concept_id)
"(in person, death, observation_period)",is foreign key,G1-003,low,Medium,,"is other (i.e. not a PK. FK, source value or concept id field or date/year)"
"(in person, death, observation_period)",is foreign key,G2-013,medium,High,,is date/year (contains date or year)
"(in person, death, observation_period)",is foreign key,G2-013,low,Medium,,
"(in person, death, observation_period)",is foreign key,G2-005,high,Low,,
"(in person, death, observation_period)",is foreign key,G3-002,-,Medium,,
"(in person, death, observation_period)",is other,G2-011,low,Medium,,
"(in person, death, observation_period)",is other,G4-002,full,High,,
"(in person, death, observation_period)",is concept id,G4-002,full,High,,
"(in person, death, observation_period)",is concept id,G2-006,-,High,,
"(in person, death, observation_period)",is date/year,G2-009,low,Medium,,
"(in person, death, observation_period)",is date/year,G2-010,low,Medium,,
